node_id,station_name,mode,city,lines,current_active
M000,金盆丘(铜官窑巴士站),地铁,长沙,地铁1号线,True
M001,金霞,地铁,长沙,地铁1号线,True
M002,鹅羊山,地铁,长沙,地铁1号线,True
M003,秀峰山,地铁,长沙,地铁1号线,True
M004,宿龙桥,地铁,长沙,地铁1号线,True
M005,开福区政府,地铁,长沙,地铁1号线,True
M006,马厂,地铁,长沙,地铁1号线,True
M007,北辰三角洲,地铁,长沙,地铁1号线,True
M008,开福寺,地铁,长沙,地铁1号线,True
M009,文昌阁,地铁,长沙,地铁1号线、地铁6号线,True
M010,培元桥,地铁,长沙,地铁1号线,True
M011,五一广场,地铁,长沙,地铁1号线、地铁2号线,True
M012,黄兴广场,地铁,长沙,地铁1号线,True
M013,南门口(天心阁),地铁,长沙,地铁1号线,True
M014,侯家塘,地铁,长沙,地铁1号线、地铁3号线,True
M015,南湖路,地铁,长沙,地铁1号线,True
M016,黄土岭,地铁,长沙,地铁1号线、地铁4号线,True
M017,涂家冲,地铁,长沙,地铁1号线,True
M018,铁道学院(爱尔眼科),地铁,长沙,地铁1号线,True
M019,友谊路,地铁,长沙,地铁1号线,True
M020,省政府,地铁,长沙,地铁1号线,True
M021,桂花坪,地铁,长沙,地铁1号线,True
M022,大托,地铁,长沙,地铁1号线,True
M023,中信广场(城际先锋站),地铁,长沙,地铁1号线,True
M024,尚双塘,地铁,长沙,地铁1号线,True
M025,梅溪湖西,地铁,长沙,地铁2号线,True
M026,麓云路,地铁,长沙,地铁2号线,True
M027,文化艺术中心,地铁,长沙,地铁2号线,True
M028,梅溪湖东,地铁,长沙,地铁2号线,True
M029,望城坡(汽车西站),地铁,长沙,地铁2号线,True
M030,金星路,地铁,长沙,地铁2号线,True
M031,西湖公园,地铁,长沙,地铁2号线,True
M032,溁湾镇,地铁,长沙,地铁2号线、地铁4号线,True
M033,橘子洲,地铁,长沙,地铁2号线,True
M034,湘江中路,地铁,长沙,地铁2号线,True
M035,芙蓉广场,地铁,长沙,地铁2号线,True
M036,迎宾路口,地铁,长沙,地铁2号线、地铁6号线,True
M037,袁家岭,地铁,长沙,地铁2号线,True
M038,长沙火车站,地铁,长沙,地铁2号线、地铁3号线,True
M039,锦泰广场(城际长沙站),地铁,长沙,地铁2号线,True
M040,万家丽广场,地铁,长沙,地铁2号线、地铁5号线,True
M041,人民东路,地铁,长沙,地铁2号线、地铁6号线,True
M042,长沙大道,地铁,长沙,地铁2号线,True
M043,沙湾公园,地铁,长沙,地铁2号线、地铁4号线,True
M044,杜花路,地铁,长沙,地铁2号线,True
M045,长沙火车南站,地铁,长沙,地铁2号线、地铁4号线,True
M046,光达(会展中心),地铁,长沙,地铁2号线、地铁4号线,True
M047,湘潭北站,地铁,湘潭,地铁3号线,True
M048,船形山,地铁,湘潭,地铁3号线,True
M049,黄家湾,地铁,湘潭,地铁3号线,True
M050,双湖,地铁,长沙,地铁3号线,True
M051,坪塘,地铁,长沙,地铁3号线,True
M052,红桥,地铁,长沙,地铁3号线,True
M053,桐溪,地铁,长沙,地铁3号线,True
M054,大王山,地铁,长沙,地铁3号线,True
M055,山塘,地铁,长沙,地铁3号线,True
M056,洋湖湿地,地铁,长沙,地铁3号线,True
M057,洋湖新城,地铁,长沙,地铁3号线,True
M058,阳光,地铁,长沙,地铁3号线,True
M059,中南大学,地铁,长沙,地铁3号线,True
M060,阜埠河,地铁,长沙,地铁3号线、地铁4号线,True
M061,灵官渡(第一师范),地铁,长沙,地铁3号线,True
M062,东塘,地铁,长沙,地铁3号线,True
M063,桂花公园,地铁,长沙,地铁3号线,True
M064,阿弥岭,地铁,长沙,地铁3号线,True
M065,朝阳村,地铁,长沙,地铁3号线、地铁6号线,True
