weighted_rank,unweighted_rank,rank_change,node_id,station_name,mode,city,lines,service_population,population_weighted_mean_km,population_weighted_closeness_km,lat,lon
1,1,0,M011,五一广场,地铁,长沙,地铁1号线、地铁2号线,19680.019218750018,9.807326142367764,0.10196459111112746,28.195346,112.976341
2,2,0,M036,迎宾路口,地铁,长沙,地铁2号线、地铁6号线,25261.464882812514,9.949866548851158,0.10050386053825647,28.194803,112.992158
3,3,0,M035,芙蓉广场,地铁,长沙,地铁2号线,28725.77851562502,9.96540196966142,0.10034718148293376,28.194902,112.984621
4,6,2,M012,黄兴广场,地铁,长沙,地铁1号线,22559.204726562457,10.011488799566472,0.09988524384538122,28.189443,112.976416
5,7,2,M038,长沙火车站,地铁,长沙,地铁2号线、地铁3号线,28554.10199218743,10.083552740542762,0.09917139580966515,28.193622,113.010983
6,4,-2,M039,锦泰广场(城际长沙站),地铁,长沙,地铁2号线,18059.263681640572,10.11036943382743,0.09890835409576475,28.191862,113.01758
6,4,-2,IC_CSS,长沙,城际铁路,长沙,长株潭城际铁路(S1),18059.263681640572,10.11036943382743,0.09890835409576475,28.191862,113.01758
7,5,-2,M014,侯家塘,地铁,长沙,地铁1号线、地铁3号线,39209.40948242186,10.127971117380904,0.0987364585078517,28.173792,112.982135
8,8,0,M037,袁家岭,地铁,长沙,地铁2号线,32555.63094726561,10.132335981185182,0.09869392426947825,28.194552,113.000645
9,11,2,M013,南门口(天心阁),地铁,长沙,地铁1号线,28467.348613281203,10.175149603867531,0.09827865328092122,28.183492,112.976185
10,9,-1,M034,湘江中路,地铁,长沙,地铁2号线,20859.322382812526,10.203898257205596,0.09800176116944707,28.195238,112.969354
11,10,-1,M065,朝阳村,地铁,长沙,地铁3号线、地铁6号线,36958.88449218753,10.262872323477902,0.09743860865464982,28.185005,113.010833
12,15,3,M010,培元桥,地铁,长沙,地铁1号线,42357.30822021499,10.372464372145467,0.09640910434799184,28.206191,112.976427
13,18,5,M126,烈士公园南(湖南博物院),地铁,长沙,地铁6号线,26116.11496398914,10.468303153712242,0.09552646549458998,28.204646,112.991244
14,13,-1,M015,南湖路,地铁,长沙,地铁1号线,20245.55263671872,10.4903630640334,0.09532558538689069,28.166098,112.985584
15,12,-3,M033,橘子洲,地铁,长沙,地铁2号线,11247.638761901888,10.516166515697135,0.0950916855973451,28.195603,112.962505
16,17,1,M127,窑岭湘雅二医院,地铁,长沙,地铁6号线,50846.28183593751,10.519593886482319,0.09506070393886595,28.185843,112.996452
17,21,4,M009,文昌阁,地铁,长沙,地铁1号线、地铁6号线,32096.65990234362,10.58569078244633,0.09446714631587814,28.213985,112.978513
18,20,2,M062,东塘,地铁,长沙,地铁3号线,25388.669082031254,10.603405625450621,0.09430932243125446,28.169675,112.992907
19,14,-5,M040,万家丽广场,地铁,长沙,地铁2号线、地铁5号线,28141.08791992183,10.678030802283573,0.09365022619958568,28.191485,113.030547
20,19,-1,M016,黄土岭,地铁,长沙,地铁1号线、地铁4号线,24391.56097656247,10.70495053476787,0.09341472403372338,28.160072,112.985359
21,16,-5,M104,芙蓉区政府,地铁,长沙,地铁5号线、地铁6号线,23690.574238281246,10.73540699749708,0.09314970547769137,28.184226,113.030383
22,27,5,M125,湘雅医院,地铁,长沙,地铁6号线,18497.45705383294,10.744156371933682,0.0930738501360833,28.213534,112.987982
23,22,-1,M064,阿弥岭,地铁,长沙,地铁3号线,37695.5933105468,10.808886122376729,0.09251647104781538,28.174612,113.00811
24,23,-1,M063,桂花公园,地铁,长沙,地铁3号线,24469.66223632806,10.83628253796637,0.09228256982930869,28.170498,113.00148
25,30,5,M008,开福寺,地铁,长沙,地铁1号线,22341.824797363282,10.896901006233875,0.09176921029455275,28.222442,112.979549
25,30,5,IC_KFS,开福寺,城际铁路,长沙,长株潭城际铁路(S1),22341.824797363282,10.896901006233875,0.09176921029455275,28.228121,112.985892
26,24,-2,M032,溁湾镇,地铁,长沙,地铁2号线、地铁4号线,12405.815683631832,10.98023511686962,0.09107273108056108,28.196738,112.952302
27,26,-1,M090,砂子塘,地铁,长沙,地铁4号线,26721.746093749975,11.075672610249956,0.09028797032828076,28.162432,112.994341
28,28,0,M103,高桥北,地铁,长沙,地铁5号线,30891.96379882812,11.123361230781635,0.08990088330788933,28.176194,113.030067
29,25,-4,M041,人民东路,地铁,长沙,地铁2号线、地铁6号线,17446.919658203115,11.218227496886177,0.08914064189530549,28.184169,113.038694
30,33,3,M017,涂家冲,地铁,长沙,地铁1号线,50617.59671874999,11.274911210815286,0.08869249445093326,28.153167,112.984779
31,31,0,M061,灵官渡(第一师范),地铁,长沙,地铁3号线,37179.48782226565,11.276864594851485,0.08867713109338526,28.179256,112.970527
32,29,-3,M092,树木岭,地铁,长沙,地铁4号线,16896.66241699224,11.289308416226534,0.08857938530252779,28.156378,113.02146
32,29,-3,IC_SML,树木岭,城际铁路,长沙,长株潭城际铁路(S1),16896.66241699224,11.289308416226534,0.08857938530252779,28.156378,113.02146
33,38,5,M066,烈士公园东,地铁,长沙,地铁3号线,62113.20149658163,11.345928590038621,0.08813734301817917,28.20813,113.008954
34,32,-2,M091,赤岗岭,地铁,长沙,地铁4号线,41809.185654296845,11.386262979877971,0.0878251276794871,28.159707,113.005431
35,35,0,M105,马王堆,地铁,长沙,地铁5号线,36518.02464843749,11.435482486380547,0.08744711919160228,28.200043,113.031129
36,34,-2,M102,高桥南,地铁,长沙,地铁5号线,30773.324794921853,11.457143256940745,0.08728179246551704,28.167077,113.029573
37,39,2,M086,望月湖,地铁,长沙,地铁4号线,11787.237373657259,11.593324565788123,0.08625653446734322,28.206623,112.955917
38,37,-1,M087,湖南师大,地铁,长沙,地铁4号线,9214.757448844879,11.622396552134296,0.0860407744232719,28.186265,112.948149
